,Sample #,RT Clock,Max timestamp delta in microseconds,10.0.0.11,10.0.0.12
0,67,10:09:16,746,273035651,273034905
1,68,10:09:18,741,275035646,275034905
2,69,10:09:20,1137,277037920,277036783
3,70,10:09:22,1133,279037916,279036783
4,71,10:09:24,1129,281037912,281036783
5,72,10:09:26,15327,283023724,283039051
6,73,10:09:28,15331,285023720,285039051
7,74,10:09:30,6765,287030841,287024076
8,75,10:09:32,6761,289030837,289024076
9,76,10:09:34,6757,291030833,291024076
10,77,10:09:36,355,293031545,293031190
11,78,10:09:38,351,295031541,295031190
12,79,10:09:40,15317,297047604,297032287
13,80,10:09:42,15312,299047599,299032287
14,81,10:09:44,15308,301047595,301032287
15,82,10:09:46,6446,303041897,303048343
16,83,10:09:48,6450,305041893,305048343
17,84,10:09:50,5709,307048740,307043031
18,85,10:09:52,5705,309048736,309043031
19,86,10:09:54,5701,311048732,311043031
20,87,10:09:56,1136,313051007,313049871
21,88,10:09:58,1131,315051002,315049871
22,89,10:10:00,357,317051715,317051358
23,90,10:10:02,353,319051711,319051358
24,91,10:10:04,349,321051707,321051358
25,92,10:10:06,17893,323034171,323052064
26,93,10:10:08,17897,325034167,325052064
27,94,10:10:10,14492,327049406,327034914
28,95,10:10:12,14487,329049401,329034914
29,96,10:10:14,14483,331049397,331034914
30,97,10:10:16,745,333050890,333050145
31,98,10:10:18,741,335050886,335050145
32,99,10:10:20,1139,337053162,337052023
33,100,10:10:22,1135,339053158,339052023
34,101,10:10:24,1130,341053153,341052023
35,102,10:10:26,1136,343045772,343044636
36,103,10:10:28,1132,345045768,345044636
37,104,10:10:30,357,347051111,347050754
38,105,10:10:32,353,349051107,349050754
39,106,10:10:34,349,351051103,351050754
40,107,10:10:36,354,353051815,353051461
41,108,10:10:38,350,355051811,355051461
42,109,10:10:40,748,357053305,357052557
43,110,10:10:42,744,359053301,359052557
44,111,10:10:44,740,361053297,361052557
45,112,10:10:46,746,363054791,363054045
46,113,10:10:48,741,365054786,365054045
47,114,10:10:50,17580,367073504,367055924
48,115,10:10:52,17576,369073500,369055924
49,116,10:10:54,17572,371073496,371055924
50,117,10:10:56,1136,373075771,373074635
51,118,10:10:58,1131,375075766,375074635
52,119,10:11:00,357,377076479,377076122
53,120,10:11:02,353,379076475,379076122
54,121,10:11:04,349,381076471,381076122
55,122,10:11:06,19181,383057647,383076828
56,123,10:11:08,19185,385057643,385076828
57,124,10:11:10,748,387059137,387058389
58,125,10:11:12,744,389059133,389058389
59,126,10:11:14,740,391059129,391058389
60,127,10:11:16,745,393060622,393059877
