,Sample #,RT Clock,Max timestamp delta in microseconds,10.0.0.11,10.0.0.12
0,104,09:57:12,1173627,210422915,211596542
1,105,09:57:13,1173631,212422911,213596542
2,106,09:57:15,1173635,214422907,215596542
3,107,09:57:17,1173640,216422902,217596542
4,108,09:57:19,1173644,218422898,219596542
5,109,09:57:21,1173648,220422894,221596542
6,110,09:57:23,1173652,222422890,223596542
7,111,09:57:25,1173656,224422886,225596542
8,112,09:57:27,1173660,226422882,227596542
9,113,09:57:29,751,228422877,228423628
10,114,09:57:31,755,230422873,230423628
11,115,09:57:33,759,232422869,232423628
12,116,09:57:35,763,234422865,234423628
13,117,09:57:37,767,236422861,236423628
