,Sample #,RT Clock,Max timestamp delta in microseconds,10.0.0.11,10.0.0.12
0,1,14:19:20,0,40235199,38084961
1,2,14:19:22,0,42235229,40084991
2,3,14:19:24,0,44235260,42084991
3,4,14:19:26,0,46235291,44085022
4,5,14:19:28,0,48235321,46085052
5,6,14:19:30,349,48085432,48085083
6,7,14:19:32,348,50085462,50085114
7,8,14:19:34,349,52085493,52085144
8,9,14:19:36,348,54085523,54085175
9,10,14:19:38,349,56085554,56085205
10,11,14:19:40,379,58085584,58085205
11,12,14:19:42,379,60085615,60085236
12,13,14:19:44,379,62085645,62085266
13,14,14:19:46,379,64085676,64085297
