,Sample #,RT Clock,Max timestamp delta in microseconds,10.0.0.11,10.0.0.12
0,1,14:22:49,0,13827301,12331970
1,2,14:22:51,0,15827332,14332001
2,47,14:20:52,501,130086683,130086182
3,48,14:20:54,501,132086713,132086212
4,49,14:20:56,532,134086744,134086212
5,50,14:20:58,531,136086774,136086243
6,51,14:21:00,532,138086805,138086273
7,52,14:21:02,531,140086835,140086304
8,53,14:21:04,532,142086866,142086334
9,54,14:21:06,531,144086896,144086365
10,55,14:21:08,532,146086927,146086395
11,56,14:21:10,562,148086957,148086395
12,57,14:21:12,562,150086988,150086426
13,58,14:21:14,562,152087018,152086456
14,59,14:21:16,562,154087049,154086487
15,60,14:21:18,563,156087080,156086517
16,61,14:21:20,562,158087110,158086548
17,62,14:21:22,563,160087141,160086578
18,63,14:21:24,593,162087171,162086578
19,64,14:21:26,593,164087202,164086609
20,65,14:21:28,593,166087232,166086639
21,66,14:21:30,593,168087263,168086670
22,67,14:21:32,593,170087293,170086700
23,68,14:21:34,593,172087324,172086731
24,69,14:21:36,593,174087354,174086761
25,70,14:21:38,593,176087385,176086792
26,71,14:21:40,623,178087415,178086792
27,72,14:21:42,623,180087446,180086823
28,73,14:21:44,623,182087476,182086853
29,74,14:21:46,623,184087507,184086884
30,75,14:21:48,623,186087537,186086914
31,76,14:21:50,623,188087568,188086945
32,77,14:21:52,623,190087598,190086975
33,78,14:21:54,654,192087629,192086975
34,79,14:21:56,653,194087659,194087006
35,80,14:21:58,654,196087690,196087036
36,81,14:22:00,653,198087720,198087067
37,82,14:22:02,654,200087751,200087097
38,83,14:22:04,0,199937934,202087128
39,84,14:22:06,0,201937965,204087158
40,85,14:22:08,0,203937965,206087158
41,86,14:22:10,0,205937995,208087189
42,87,14:22:12,0,207938026,210087219
43,88,14:22:14,0,209938056,212087250
44,89,14:22:16,0,209788218,214087280
45,90,14:22:18,0,211788249,218238604
46,91,14:22:20,0,213788279,220238634
47,92,14:22:22,0,215788310,222238665
48,93,14:22:24,0,217788340,224238665
49,94,14:22:26,0,219788371,228389639
50,95,14:22:28,0,221788401,230389670
51,96,14:22:30,0,223788432,232389700
52,97,14:22:32,0,225788462,234389731
53,98,14:22:34,0,227788493,236389761
