,Sample #,RT Clock,Max timestamp delta in microseconds,10.0.0.11,10.0.0.12
0,6,14:22:59,0,23827454,22332123
1,7,14:23:01,0,25827484,24332123
2,8,14:23:03,0,27827515,26332153
3,9,14:23:05,0,29827545,28332184
4,10,14:23:07,0,31827576,30332214
5,11,14:23:09,0,33827606,32332245
6,12,14:23:11,0,35827637,34332275
7,13,14:23:13,0,37827667,36332306
8,14,14:23:15,0,39827698,38332306
9,15,14:23:17,0,41827728,40332336
10,16,14:23:19,0,43827759,42332367
11,17,14:23:21,0,45827789,44332397
12,18,14:23:23,0,47827820,46332428
13,19,14:23:25,337,48332795,48332458
14,20,14:23:27,337,50332826,50332489
15,21,14:23:29,336,52332856,52332520
16,22,14:23:31,367,54332887,54332520
17,23,14:23:33,367,56332917,56332550
18,24,14:23:35,367,58332948,58332581
19,25,14:23:37,367,60332978,60332611
20,26,14:23:39,367,62333009,62332642
21,27,14:23:41,367,64333039,64332672
22,28,14:23:43,367,66333070,66332703
23,29,14:23:45,398,68333101,68332703
24,30,14:23:47,398,70333131,70332733
25,31,14:23:49,398,72333162,72332764
26,32,14:23:51,398,74333192,74332794
27,33,14:23:53,398,76333223,76332825
28,34,14:23:55,398,78333253,78332855
29,35,14:23:57,398,80333284,80332886
30,36,14:23:59,428,82333314,82332886
31,37,14:24:01,429,84333345,84332916
32,38,14:24:03,0,84838281,86332947
33,39,14:24:05,0,86838312,88332977
34,40,14:24:07,0,88838342,90333008
35,41,14:24:09,0,90838373,92333038
36,42,14:24:11,0,92838403,94333069
37,43,14:24:13,0,93343289,96333099
38,44,14:24:15,0,95343319,98333099
39,45,14:24:17,0,99061290,100333130
40,46,14:24:19,0,101061320,102333160
41,47,14:24:21,0,101566198,104333191
42,48,14:24:23,0,102071425,106333221
43,49,14:24:25,0,102576289,108333252
44,50,14:24:27,0,103080822,110333282
45,51,14:24:29,0,103586035,112333282
46,52,14:24:31,0,104091277,114333313
47,53,14:24:33,0,104596157,116333344
48,54,14:24:35,0,105101392,118333374
49,55,14:24:37,0,105606625,120333405
50,56,14:24:39,0,106111494,122333435
51,57,14:24:41,0,106616720,124333466
52,58,14:24:43,0,107121914,126333466
53,59,14:24:45,0,107626715,128333496
54,60,14:24:47,0,109626745,130333527
55,61,14:24:49,0,111626776,132333557
56,62,14:24:51,0,112131596,134333588
57,63,14:24:53,0,114131627,136333618
58,64,14:24:55,0,116131657,138333649
59,65,14:24:57,0,118131688,140333649
60,66,14:24:59,0,120131718,142333679
61,67,14:25:01,0,122131749,144333710
62,68,14:25:03,0,124131779,146333740
63,69,14:25:05,0,126131810,148333771
64,70,14:25:07,0,128131840,150333801
65,71,14:25:09,0,130131871,152333832
66,72,14:25:11,0,132131901,154333832
67,73,14:25:13,0,134131932,156333862
68,74,14:25:15,0,136131962,158333893
