,Sample #,RT Clock,Max timestamp delta in microseconds,10.0.0.11,10.0.0.12
0,144,09:58:31,881,290422747,290423628
1,145,09:58:33,885,292422743,292423628
2,146,09:58:35,890,294422738,294423628
3,147,09:58:37,894,296422734,296423628
4,148,09:58:39,898,298422730,298423628
5,149,09:58:41,902,300422726,300423628
6,150,09:58:43,907,302422721,302423628
7,151,09:58:45,911,304422717,304423628
8,152,09:58:47,915,306422713,306423628
9,153,09:58:49,919,308422709,308423628
10,154,09:58:51,924,310422704,310423628
11,155,09:58:53,928,312422700,312423628
12,156,09:58:55,932,314422696,314423628
13,157,09:58:57,936,316422692,316423628
14,158,09:58:59,941,318422687,318423628
15,159,09:59:01,945,320422683,320423628
16,160,09:59:03,949,322422679,322423628
17,161,09:59:05,953,324422675,324423628
18,162,09:59:07,958,326422670,326423628
19,163,09:59:09,962,328422666,328423628
20,164,09:59:11,966,330422662,330423628
21,165,09:59:13,970,332422658,332423628
22,166,09:59:15,975,334422653,334423628
23,167,09:59:17,979,336422649,336423628
24,168,09:59:19,983,338422645,338423628
25,169,09:59:21,987,340422641,340423628
26,170,09:59:23,991,342422637,342423628
27,171,09:59:25,996,344422632,344423628
28,172,09:59:27,1000,346422628,346423628
29,173,09:59:29,1004,348422624,348423628
30,174,09:59:31,1008,350422620,350423628
31,175,09:59:33,1013,352422615,352423628
32,176,09:59:35,1017,354422611,354423628
33,177,09:59:37,1021,356422607,356423628
34,178,09:59:39,1025,358422603,358423628
35,179,09:59:41,1029,360422599,360423628
36,180,09:59:43,1034,362422594,362423628
37,181,09:59:45,1038,364422590,364423628
38,182,09:59:47,1042,366422586,366423628
39,183,09:59:49,1046,368422582,368423628
40,184,09:59:51,1050,370422578,370423628
41,185,09:59:53,1055,372422573,372423628
42,186,09:59:55,1059,374422569,374423628
43,187,09:59:57,1063,376422565,376423628
44,188,09:59:59,1067,378422561,378423628
45,189,10:00:01,1071,380422557,380423628
46,190,10:00:03,1075,382422553,382423628
47,191,10:00:05,1080,384422548,384423628
48,192,10:00:07,1084,386422544,386423628
49,193,10:00:09,1088,388422540,388423628
50,194,10:00:11,1092,390422536,390423628
51,195,10:00:13,1096,392422532,392423628
52,196,10:00:15,1101,394422527,394423628
53,197,10:00:17,1105,396422523,396423628
54,198,10:00:19,1109,398422519,398423628
55,199,10:00:21,1113,400422515,400423628
56,200,10:00:23,1118,402422510,402423628
57,201,10:00:25,1122,404422506,404423628
58,202,10:00:27,1126,406422502,406423628
59,203,10:00:29,1130,408422498,408423628
60,204,10:00:31,1134,410422494,410423628
61,205,10:00:33,1139,412422489,412423628
62,206,10:00:35,1143,414422485,414423628
63,207,10:00:37,1147,416422481,416423628
64,208,10:00:39,1151,418422477,418423628
65,209,10:00:41,1155,420422473,420423628
66,210,10:00:43,1160,422422468,422423628
67,211,10:00:45,1164,424422464,424423628
68,212,10:00:47,1168,426422460,426423628
69,213,10:00:49,1172,428422456,428423628
70,214,10:00:51,1176,430422452,430423628
71,215,10:00:53,1181,432422447,432423628
72,216,10:00:55,1185,434422443,434423628
73,217,10:00:57,1189,436422439,436423628
74,218,10:00:59,1193,438422435,438423628
75,219,10:01:01,1197,440422431,440423628
76,220,10:01:03,1201,442422427,442423628
77,221,10:01:05,1225,444422422,444423647
78,222,10:01:07,1210,446422418,446423628
79,223,10:01:09,1242,448422414,448423656
80,224,10:01:11,1218,450422410,450423628
81,225,10:01:13,1222,452422406,452423628
82,226,10:01:15,1226,454422402,454423628
83,227,10:01:17,1231,456422397,456423628
84,228,10:01:19,1235,458422393,458423628
85,229,10:01:21,1239,460422389,460423628
86,230,10:01:23,1243,462422385,462423628
87,231,10:01:25,1247,464422381,464423628
88,232,10:01:27,1251,466422377,466423628
89,233,10:01:29,1255,468422373,468423628
90,234,10:01:31,1260,470422368,470423628
91,235,10:01:33,1264,472422364,472423628
92,236,10:01:35,1268,474422360,474423628
93,237,10:01:37,1272,476422356,476423628
