,Sample #,RT Clock,Max timestamp delta in microseconds,10.0.0.11,10.0.0.12
106,107,09:20:20,1209,751781,752990
107,108,09:20:22,1142,751777,752919
108,109,09:20:24,1146,751773,752919
109,110,09:20:26,360,751769,752129
110,111,09:20:28,364,751765,752129
111,112,09:20:30,369,751760,752129
112,113,09:20:32,373,751756,752129
113,114,09:20:34,1142,751752,752894
114,115,09:20:36,1146,751748,752894
115,116,09:20:38,1150,751744,752894
116,117,09:20:40,1154,751740,752894
117,118,09:20:42,1159,751735,752894
118,119,09:20:44,361,751731,752092
119,120,09:20:46,365,751727,752092
120,121,09:20:48,355,752447,752092
121,122,09:20:50,351,752443,752092
122,123,09:20:52,347,752439,752092
123,124,09:20:54,1143,752434,753577
124,125,09:20:56,1147,752430,753577
125,126,09:20:58,1151,752426,753577
126,127,09:21:00,1155,752422,753577
127,128,09:21:02,1159,752418,753577
128,129,09:21:04,1142,752414,753556
129,130,09:21:06,1147,752409,753556
130,131,09:21:08,1151,752405,753556
131,132,09:21:10,18893,752401,733508
132,133,09:21:12,18889,752397,733508
133,134,09:21:14,18885,752393,733508
134,135,09:21:16,18881,752389,733508
135,136,09:21:18,18877,752385,733508
136,137,09:21:20,18872,752380,733508
137,138,09:21:22,18868,752376,733508
138,139,09:21:24,18864,752372,733508
139,140,09:21:26,18860,752368,733508
140,141,09:21:28,18856,752364,733508
141,142,09:21:30,18852,752360,733508
142,143,09:21:32,18847,752355,733508
143,144,09:21:34,18843,752351,733508
144,145,09:21:36,18839,752347,733508
145,146,09:21:38,18835,752343,733508
146,147,09:21:40,18831,752339,733508
147,148,09:21:42,18827,752335,733508
148,149,09:21:44,18823,752331,733508
149,150,09:21:46,1141,752327,753468
150,151,09:21:48,1146,752322,753468
151,152,09:21:50,1150,752318,753468
152,153,09:21:52,744,754212,753468
153,154,09:21:54,740,754208,753468
154,155,09:21:56,736,754204,753468
155,156,09:21:58,356,753824,753468
156,157,09:22:00,9687,763155,753468
157,158,09:22:02,9682,763150,753468
158,159,09:22:04,9678,763146,753468
159,160,09:22:06,9674,763142,753468
160,161,09:22:08,9670,763138,753468
161,162,09:22:10,9666,763134,753468
162,163,09:22:12,1137,754605,753468
163,164,09:22:14,1133,754601,753468
164,165,09:22:16,1142,754596,755738
165,166,09:22:18,1146,754592,755738
166,167,09:22:20,1150,754588,755738
167,168,09:22:22,1154,754584,755738
168,169,09:22:24,1158,754580,755738
169,170,09:22:26,1162,754576,755738
170,171,09:22:28,1167,754571,755738
171,172,09:22:30,1171,754567,755738
172,173,09:22:32,1175,754563,755738
173,174,09:22:34,1179,754559,755738
174,175,09:22:36,1183,754555,755738
175,176,09:22:38,1187,754551,755738
176,177,09:22:40,1192,754546,755738
177,178,09:22:42,1196,754542,755738
178,179,09:22:44,1200,754538,755738
179,180,09:22:46,1204,754534,755738
180,181,09:22:48,1208,754530,755738
