,Sample #,RT Clock,Max timestamp delta in microseconds,10.0.0.11,10.0.0.12
0,1,09:16:48,449512,301220,750732
1,2,09:16:50,449516,301216,750732
2,3,09:16:52,449520,301212,750732
3,4,09:16:54,449524,301208,750732
4,5,09:16:56,747,751479,750732
5,6,09:16:58,742,751474,750732
6,7,09:17:00,738,751470,750732
7,8,09:17:02,734,751466,750732
8,9,09:17:04,730,751462,750732
9,10,09:17:06,726,751458,750732
10,11,09:17:08,722,751454,750732
11,12,09:17:10,717,751449,750732
12,13,09:17:12,713,751445,750732
13,14,09:17:14,709,751441,750732
14,15,09:17:16,705,751437,750732
15,16,09:17:18,701,751433,750732
16,17,09:17:20,697,751429,750732
17,18,09:17:22,692,751424,750732
18,19,09:17:24,688,751420,750732
19,20,09:17:26,684,751416,750732
20,21,09:17:28,680,751412,750732
21,22,09:17:30,676,751408,750732
22,23,09:17:32,672,751404,750732
23,24,09:17:34,667,751399,750732
24,25,09:17:36,663,751395,750732
25,26,09:17:38,659,751391,750732
26,27,09:17:40,655,751387,750732
27,28,09:17:42,651,751383,750732
28,29,09:17:44,647,751379,750732
29,30,09:17:46,643,751375,750732
30,31,09:17:48,638,751370,750732
31,32,09:17:50,634,751366,750732
32,33,09:17:52,630,751362,750732
33,34,09:17:54,626,751358,750732
34,35,09:17:56,622,751354,750732
35,36,09:17:58,618,751350,750732
36,37,09:18:00,614,751346,750732
37,38,09:18:02,610,751342,750732
38,39,09:18:04,605,751337,750732
39,40,09:18:06,601,751333,750732
40,41,09:18:08,597,751329,750732
41,42,09:18:10,593,751325,750732
42,43,09:18:12,589,751321,750732
43,44,09:18:14,585,751317,750732
44,45,09:18:16,581,751313,750732
45,46,09:18:18,577,751309,750732
46,47,09:18:20,572,751304,750732
47,48,09:18:22,568,751300,750732
48,49,09:18:24,564,751296,750732
49,50,09:18:26,560,751292,750732
50,51,09:18:28,556,751288,750732
51,52,09:18:30,552,751284,750732
52,53,09:18:32,548,751280,750732
53,54,09:18:34,745,751477,750732
54,55,09:18:36,741,751473,750732
55,56,09:18:38,737,751469,750732
56,57,09:18:40,733,751465,750732
57,58,09:18:42,729,751461,750732
58,59,09:18:44,725,751457,750732
59,60,09:18:46,721,751453,750732
60,61,09:18:48,716,751448,750732
61,62,09:18:50,712,751444,750732
62,63,09:18:52,708,751440,750732
63,64,09:18:54,704,751436,750732
64,65,09:18:56,700,751432,750732
65,66,09:18:58,696,751428,750732
66,67,09:19:00,692,751424,750732
67,68,09:19:02,688,751420,750732
68,69,09:19:04,683,751415,750732
69,70,09:19:06,679,751411,750732
70,71,09:19:08,1137,751869,750732
71,72,09:19:10,1133,751865,750732
72,73,09:19:12,1129,751861,750732
73,74,09:19:14,1125,751857,750732
74,75,09:19:16,1121,751853,750732
75,76,09:19:18,1117,751849,750732
76,77,09:19:20,1112,751844,750732
77,78,09:19:22,1108,751840,750732
78,79,09:19:24,1104,751836,750732
79,80,09:19:26,1136,751868,750732
80,81,09:19:28,1132,751864,750732
81,82,09:19:30,1128,751860,750732
82,83,09:19:32,1124,751856,750732
83,84,09:19:34,1119,751851,750732
84,85,09:19:36,1115,751847,750732
85,86,09:19:38,1136,751868,750732
86,87,09:19:40,1132,751864,750732
87,88,09:19:42,1128,751860,750732
88,89,09:19:44,1124,751856,750732
89,90,09:19:46,1120,751852,750732
90,91,09:19:48,1143,751847,752990
91,92,09:19:50,1147,751843,752990
92,93,09:19:52,1151,751839,752990
93,94,09:19:54,1155,751835,752990
94,95,09:19:56,1159,751831,752990
95,96,09:19:58,1163,751827,752990
96,97,09:20:00,1167,751823,752990
97,98,09:20:02,1172,751818,752990
98,99,09:20:04,1176,751814,752990
99,100,09:20:06,1180,751810,752990
100,101,09:20:08,1184,751806,752990
101,102,09:20:10,1188,751802,752990
102,103,09:20:12,1192,751798,752990
103,104,09:20:14,1197,751793,752990
104,105,09:20:16,1201,751789,752990
105,106,09:20:18,1205,751785,752990
