,Sample #,RT Clock,Max timestamp delta in microseconds,10.0.0.11,10.0.0.12
0,281,09:26:08,1621,754117,755738
1,282,09:26:10,1625,754113,755738
2,283,09:26:12,1629,754109,755738
3,284,09:26:14,1634,754104,755738
4,285,09:26:16,1638,754100,755738
5,286,09:26:18,1642,754096,755738
6,287,09:26:20,1646,754092,755738
7,288,09:26:22,1650,754088,755738
8,289,09:26:24,1654,754084,755738
9,290,09:26:26,1659,754079,755738
10,291,09:26:28,1663,754075,755738
11,292,09:26:30,1667,754071,755738
12,293,09:26:32,1671,754067,755738
13,294,09:26:34,1675,754063,755738
14,295,09:26:36,355,756093,755738
15,296,09:26:38,350,756088,755738
16,297,09:26:40,346,756084,755738
17,298,09:26:42,342,756080,755738
18,299,09:26:44,338,756076,755738
19,300,09:26:46,334,756072,755738
20,301,09:26:48,330,756068,755738
21,302,09:26:50,325,756063,755738
22,303,09:26:52,321,756059,755738
23,304,09:26:54,317,756055,755738
24,305,09:26:56,313,756051,755738
25,306,09:26:58,309,756047,755738
26,307,09:27:00,305,756043,755738
27,308,09:27:02,300,756038,755738
28,309,09:27:04,296,756034,755738
29,310,09:27:06,292,756030,755738
30,311,09:27:08,752,756026,756778
31,312,09:27:10,756,756022,756778
32,313,09:27:12,760,756018,756778
33,314,09:27:14,765,756013,756778
34,315,09:27:16,769,756009,756778
35,316,09:27:18,773,756005,756778
36,317,09:27:20,777,756001,756778
37,318,09:27:22,781,755997,756778
38,319,09:27:24,786,755992,756778
39,320,09:27:26,790,755988,756778
40,321,09:27:28,794,755984,756778
41,322,09:27:30,798,755980,756778
42,323,09:27:32,802,755976,756778
43,324,09:27:34,806,755972,756778
44,325,09:27:36,810,755968,756778
45,326,09:27:38,815,755963,756778
46,327,09:27:40,819,755959,756778
47,328,09:27:42,823,755955,756778
48,329,09:27:44,827,755951,756778
49,330,09:27:46,831,755947,756778
50,331,09:27:48,835,755943,756778
51,332,09:27:50,840,755938,756778
52,333,09:27:52,844,755934,756778
53,334,09:27:54,848,755930,756778
54,335,09:27:56,852,755926,756778
55,336,09:27:58,856,755922,756778
56,337,09:28:00,860,755918,756778
57,338,09:28:02,864,755914,756778
58,339,09:28:04,869,755909,756778
59,340,09:28:06,873,755905,756778
60,341,09:28:08,1137,757915,756778
61,342,09:28:10,1133,757911,756778
62,343,09:28:12,1129,757907,756778
63,344,09:28:14,1125,757903,756778
64,345,09:28:16,1121,757899,756778
65,346,09:28:18,1116,757894,756778
66,347,09:28:20,1112,757890,756778
67,348,09:28:22,1108,757886,756778
68,349,09:28:24,1104,757882,756778
69,350,09:28:26,1100,757878,756778
70,351,09:28:28,1096,757874,756778
71,352,09:28:30,1092,757870,756778
72,353,09:28:32,1087,757865,756778
73,354,09:28:34,1083,757861,756778
