,Sample #,RT Clock,Max timestamp delta in microseconds,10.0.0.11,10.0.0.12
0,1,09:53:45,0,4423344,5596542
1,2,09:53:47,0,6423340,7596542
2,3,09:53:49,0,8423336,9596542
3,4,09:53:51,0,10423332,11596542
4,5,09:53:53,0,12423328,13596542
5,6,09:53:55,0,14423323,15596542
6,7,09:53:57,0,16423319,17596542
7,8,09:53:59,0,18423315,19596542
8,9,09:54:01,0,20423311,21596542
9,10,09:54:03,0,22423307,23596542
10,11,09:54:05,0,24423303,25596542
11,12,09:54:07,0,26423298,27596542
12,13,09:54:09,0,28423294,29596542
13,14,09:54:11,0,30423290,31596542
14,15,09:54:13,0,32423286,33596542
15,16,09:54:15,0,34423282,35596542
16,17,09:54:17,0,36423278,37596542
17,18,09:54:19,0,38423273,39596542
18,19,09:54:21,0,40423269,41596542
19,20,09:54:23,0,42423265,43596542
20,21,09:54:25,0,44423261,45596542
21,22,09:54:27,0,46423257,47596542
22,23,09:54:29,0,48423253,49596542
23,24,09:54:31,0,50423248,51596542
24,25,09:54:33,0,52423244,53596542
25,26,09:54:35,0,54423240,55596542
26,27,09:54:37,0,56423236,57596542
27,28,09:54:39,0,58423232,59596542
28,29,09:54:41,0,60423228,61596542
29,30,09:54:43,0,62423223,63596542
30,31,09:54:45,0,64423219,65596542
31,32,09:54:47,0,66423215,67596542
32,33,09:54:49,0,68423211,69596542
33,34,09:54:51,0,70423207,71596542
34,35,09:54:53,0,72423202,73596542
35,36,09:54:55,0,74423198,75596542
36,37,09:54:57,0,76423194,77596542
37,38,09:54:59,0,78423190,79596542
38,39,09:55:01,0,80423186,81596542
39,40,09:55:03,0,82423181,83596542
40,41,09:55:05,0,84423177,85596542
41,42,09:55:07,0,86423173,87596542
42,43,09:55:09,0,88423169,89596542
43,44,09:55:11,0,90423165,91596542
44,45,09:55:13,0,92423160,93596542
45,46,09:55:15,0,94423156,95596542
46,47,09:55:17,0,96423152,97596542
47,48,09:55:19,0,98423148,99596542
48,49,09:55:21,0,100423144,101596542
49,50,09:55:23,0,102423139,103596542
50,51,09:55:25,0,104423135,105596542
51,52,09:55:27,0,106423131,107596542
52,53,09:55:29,0,108423127,109596542
53,54,09:55:31,0,110423123,111596542
54,55,09:55:33,0,112423118,113596542
55,56,09:55:35,0,114423114,115596542
56,57,09:55:37,0,116423110,117596542
57,58,09:55:39,0,118423106,119596542
58,59,09:55:41,0,120423102,121596542
59,60,09:55:43,0,122423097,123596542
60,61,09:55:45,0,124423093,125596542
61,62,09:55:47,0,126423089,127596542
62,63,09:55:49,0,128423085,129596542
63,64,09:55:51,0,130423081,131596542
64,65,09:55:53,0,132423076,133596542
65,66,09:55:55,0,134423072,135596542
