,Sample #,RT Clock,Max timestamp delta in microseconds,10.0.0.11,10.0.0.12
0,1,10:31:58,274376,5,0
1,2,10:32:00,2274374,2000005,0
2,3,10:32:02,4274370,4000005,0
3,4,10:32:04,6274367,6000005,0
4,5,10:32:06,8274364,8274364,0
5,6,10:32:08,10274360,10274360,0
6,7,10:32:10,12274357,12274357,0
7,8,10:32:12,14274353,14274353,0
8,9,10:32:14,16274350,16274350,0
9,10,10:32:16,18274347,18274347,0
10,11,10:32:18,20274343,20274343,0
11,12,10:32:20,22274340,22274340,0
12,13,10:32:22,24274336,24274336,0
13,14,10:32:24,26274333,26274333,0
14,15,10:32:26,28274330,28274330,0
15,16,10:32:28,30274326,30274326,0
16,17,10:32:30,32274323,32274323,0
17,18,10:32:32,34274320,34274320,0
18,19,10:32:34,36274316,36274316,0
19,20,10:32:36,38274313,38274313,0
20,21,10:32:38,40274310,40274310,0
21,22,10:32:40,42274306,42274306,0
22,23,10:32:42,44274303,44274303,0
23,24,10:32:44,46274299,46274299,0
24,25,10:32:46,48274296,48274296,0
25,26,10:32:48,0,,0
26,27,10:32:50,0,,0
27,28,10:32:52,0,,0
28,29,10:32:54,0,,0
29,30,10:32:56,0,,0
30,31,10:32:58,0,,0
31,32,10:33:00,0,,0
32,33,10:33:02,0,,0
33,34,10:33:04,0,,0
34,35,10:33:06,0,,0
35,36,10:33:08,0,,0
36,37,10:33:10,0,,0
37,38,10:33:12,0,,0
38,39,10:33:14,0,,0
39,40,10:33:16,0,,0
40,41,10:33:18,0,,0
41,42,10:33:20,0,,0
42,43,10:33:22,0,,0
43,44,10:33:24,0,,0
44,45,10:33:26,0,,0
45,46,10:33:28,0,,0
46,47,10:33:30,0,,0
47,48,10:33:32,0,,0
48,49,10:33:34,0,,0
49,546,10:31:58,0,1634554773,
50,547,10:32:00,0,1636554769,
51,548,10:32:02,0,1638554766,
52,549,10:32:04,0,1640554763,
53,550,10:32:06,0,1642554759,
54,551,10:32:08,0,1644554756,
55,552,10:32:10,0,1646554752,
56,553,10:32:12,0,1648554749,
57,554,10:32:14,0,1650554746,
58,555,10:32:16,0,1652554742,
59,556,10:32:18,0,1654554739,
60,557,10:32:20,0,1656554736,
61,558,10:32:22,0,1658554732,
62,559,10:32:24,0,1660554729,
