,Sample #,RT Clock,Max timestamp delta in microseconds,10.0.0.11,10.0.0.12
0,1,10:07:04,2690,141047004,141049694
1,2,10:07:06,5068,143042294,143047362
2,3,10:07:08,5072,145042290,145047362
3,4,10:07:10,17700,147025337,147043037
4,5,10:07:12,17705,149025332,149043037
5,6,10:07:14,17709,151025328,151043037
6,7,10:07:16,1135,153020971,153019836
7,8,10:07:18,1131,155020967,155019836
8,9,10:07:20,19476,157002627,157022103
9,10,10:07:22,19481,159002622,159022103
10,11,10:07:24,19485,161002618,161022103
11,12,10:07:26,354,163004112,163003758
12,13,10:07:28,350,165004108,165003758
13,14,10:07:30,356,167004819,167004463
14,15,10:07:32,352,169004815,169004463
15,16,10:07:34,348,171004811,171004463
16,17,10:07:36,744,173005912,173005168
17,18,10:07:38,740,175005908,175005168
18,19,10:07:40,746,177007400,177006654
19,20,10:07:42,742,179007396,179006654
20,21,10:07:44,738,181007392,181006654
21,22,10:07:46,1136,183009276,183008140
22,23,10:07:48,1132,185009272,185008140
23,24,10:07:50,1137,187011545,187010408
24,25,10:07:52,1133,189011541,189010408
25,26,10:07:54,1129,191011537,191010408
26,27,10:07:56,354,193013030,193012676
27,28,10:07:58,350,195013026,195012676
