,Sample #,RT Clock,Max timestamp delta in microseconds,10.0.0.11
0,63,10:36:13,0,124000005
1,64,10:36:15,0,126000005
2,65,10:36:17,0,128000005
3,66,10:36:19,0,130000005
4,67,10:36:21,0,132000005
5,68,10:36:23,0,134000005
6,69,10:36:25,0,136000005
7,70,10:36:27,0,138000005
8,71,10:36:29,0,140000005
9,72,10:36:31,0,142000005
10,73,10:36:33,0,144000005
11,74,10:36:35,0,146000005
12,75,10:36:37,0,148000005
13,76,10:36:39,0,150000005
14,77,10:36:41,0,152000005
15,78,10:36:43,0,154000005
16,79,10:36:45,0,156000005
17,80,10:36:47,0,158000005
18,81,10:36:49,0,160000005
19,82,10:36:51,0,162000005
20,83,10:36:53,0,164000005
21,84,10:36:55,0,166000005
22,85,10:36:57,0,168000005
23,86,10:36:59,0,170000005
24,87,10:37:01,0,172000005
25,88,10:37:03,0,174000005
26,89,10:37:05,0,176000005
27,90,10:37:07,0,178000005
28,91,10:37:09,0,180000005
29,92,10:37:11,0,182000005
30,93,10:37:13,0,184000005
31,94,10:37:15,0,186000005
32,95,10:37:17,0,188000005
33,96,10:37:19,0,190000005
34,97,10:37:21,0,192000005
35,98,10:37:23,0,194000005
36,99,10:37:25,0,196000005
37,100,10:37:27,0,198000005
38,101,10:37:29,0,200000005
39,102,10:37:31,0,202000005
40,103,10:37:33,0,204000005
41,104,10:37:35,0,206000005
42,105,10:37:37,0,208000005
43,106,10:37:39,0,210000005
44,107,10:37:41,0,212000005
45,108,10:37:43,0,214000005
46,109,10:37:45,0,216000005
47,110,10:37:47,0,218000005
48,111,10:37:49,0,220000005
49,112,10:37:51,0,222000005
50,113,10:37:53,0,224000005
