,Sample #,RT Clock,Max timestamp delta in microseconds,10.0.0.11,10.0.0.12
0,1,14:16:54,0,123731384,121837952
1,2,14:16:56,0,125731415,123837982
2,3,14:16:58,0,127731445,125838013
3,4,14:17:00,0,129731476,127838043
4,5,14:17:02,0,131731506,129838074
5,6,14:17:04,0,133731537,131838104
6,7,14:17:06,407,133838511,133838104
7,8,14:17:08,407,135838542,135838135
8,9,14:17:10,407,137838572,137838165
9,10,14:17:12,407,139838603,139838196
10,11,14:17:14,407,141838633,141838226
11,12,14:17:16,407,143838664,143838257
12,13,14:17:18,407,145838694,145838287
13,14,14:17:20,407,147838725,147838318
14,15,14:17:22,438,149838756,149838318
15,16,14:17:24,438,151838786,151838348
16,17,14:17:26,438,153838817,153838379
17,18,14:17:28,438,155838847,155838409
18,19,14:17:30,438,157838878,157838440
19,20,14:17:32,438,159838908,159838470
20,21,14:17:34,438,161838939,161838501
21,22,14:17:36,438,163838969,163838531
22,23,14:17:38,469,165839000,165838531
23,24,14:17:40,468,167839030,167838562
24,25,14:17:42,468,169839061,169838593
25,26,14:17:44,468,171839091,171838623
26,27,14:17:46,468,173839122,173838654
27,28,14:17:48,468,175839152,175838684
28,29,14:17:50,468,177839183,177838715
29,30,14:17:52,468,179839213,179838745
30,31,14:17:54,499,181839244,181838745
31,32,14:17:56,498,183839274,183838776
32,33,14:17:58,499,185839305,185838806
33,34,14:18:00,498,187839335,187838837
34,35,14:18:02,499,189839366,189838867
35,36,14:18:04,0,189946231,191838898
36,37,14:18:06,0,191946262,193838928
37,38,14:18:08,0,193946292,195838928
38,39,14:18:10,0,195946323,197838959
39,40,14:18:12,0,197946353,199838989
40,41,14:18:14,0,199946384,201839020
41,42,14:18:16,0,201946414,203839050
42,43,14:18:18,0,203946445,205839081
43,44,14:18:20,0,205946476,207839111
44,45,14:18:22,0,207946506,209839142
45,46,14:18:24,0,209946537,211839142
46,47,14:18:26,0,211946567,213839172
47,48,14:18:28,0,213946598,215839203
48,49,14:18:30,0,214053024,217839233
49,50,14:18:32,0,216053055,219839264
50,51,14:18:34,0,218053085,221839294
51,52,14:18:36,0,220053085,223839325
52,53,14:18:38,0,222053116,225839355
53,54,14:18:40,0,,227839355
